gt,clock,s1,s2,lead,tno,period,periodType,pno,player,success,actionType,actionNumber,previousAction,qualifier,subType,scoring,shirtNumber,firstName,familyName,internationalFirstName,internationalFamilyName,firstNameInitial,familyNameInitial,internationalFirstNameInitial,internationalFamilyNameInitial,scoreboardName,team_name,team_code,player_name_from_roster,player_shirt,player_pos_raw,player_pos_group,x,y,r,ev_code,ev_result,ev_text,assist_pno,assist_tno,assist_player,block_pno,block_tno,block_player,assist_pos_group,block_pos_group,points,possession_id,possession_owner_tno,possession_end_reason,pts_1,cum_1,pts_2,cum_2
05:49,05:49:00,72,71,1,2,4,REGULAR,107,R. MEEKS,1,substitution,639,,[],out,0,9,Robinson Jr,Meeks,Robinson Jr,Meeks,R,M,R,M,R. Meeks,GALATASARAY MCT TECHNIC,GSM,R. Meeks,9,,,,,,SUB,out,GALATASARAY MCT TECHNIC substitution out,,,,,,,,,0,200,2.0,,0,72,0,71
05:49,05:49:00,72,71,1,2,4,REGULAR,105,F. GILLESPIE II,1,substitution,640,,[],out,0,33,Frederick Maurice ,Gillespie Ii,Frederick Maurice ,Gillespie Ii,F,G,F,G,F. Gillespie Ii,GALATASARAY MCT TECHNIC,GSM,F. Gillespie Ii,33,,,,,,SUB,out,GALATASARAY MCT TECHNIC substitution out,,,,,,,,,0,200,2.0,,0,72,0,71
05:49,05:49:00,72,71,1,2,4,REGULAR,106,J. ROBINSON JR,1,substitution,641,,[],in,0,1,Jerome Emanuel,Robinson Jr,Jerome Emanuel,Robinson Jr,J,R,J,R,J. Robinson Jr,GALATASARAY MCT TECHNIC,GSM,J. Robinson Jr,1,,,,,,SUB,in,GALATASARAY MCT TECHNIC substitution in,,,,,,,,,0,200,2.0,,0,72,0,71
05:49,05:49:00,72,71,1,2,4,REGULAR,104,F. WHITE JR,1,substitution,642,,[],in,0,35,Fabian Christopher,White Jr,Fabian Christopher,White Jr,F,W,F,W,F. White Jr,GALATASARAY MCT TECHNIC,GSM,F. White Jr,35,,,,,,SUB,in,GALATASARAY MCT TECHNIC substitution in,,,,,,,,,0,200,2.0,,0,72,0,71
05:49,05:49:00,72,71,1,2,4,REGULAR,99,M. YASAR,1,substitution,643,,[],in,0,77,Muhsin,Yasar,Muhsin,Yasar,M,Y,M,Y,M. Yasar,GALATASARAY MCT TECHNIC,GSM,M. Yasar,77,,,,,,SUB,in,GALATASARAY MCT TECHNIC substitution in,,,,,,,,,0,200,2.0,,0,72,0,71
05:41,05:41:00,72,71,1,1,4,REGULAR,87,K. ALEXANDER,1,foul,646,,[],personal,0,7,Kyle John Solomon,Alexander,Kyle John Solomon,Alexander,K,A,K,A,K. Alexander,TÜRK TELEKOM,TTK,K. Alexander,7,,,,,,FOUL,,TÜRK TELEKOM K. ALEXANDER foul personal,,,,,,,,,0,200,2.0,,0,72,0,71
05:41,05:41:00,72,71,1,2,4,REGULAR,99,M. YASAR,1,foulon,647,646,[],,0,77,Muhsin,Yasar,Muhsin,Yasar,M,Y,M,Y,M. Yasar,GALATASARAY MCT TECHNIC,GSM,M. Yasar,77,,,,,,OTHER,,GALATASARAY MCT TECHNIC foulon,,,,,,,,,0,200,2.0,,0,72,0,71
05:29,05:29:00,72,71,1,2,4,REGULAR,103,J. PALMER JR,0,3pt,650,,[],stepbackjumpshot,1,12,James Alfred,Palmer Jr,James Alfred,Palmer Jr,J,P,J,P,J. Palmer Jr,GALATASARAY MCT TECHNIC,GSM,J. Palmer Jr,12,,,68.019996643066,59.889999389648,0.0,P3,missed,GALATASARAY MCT TECHNIC J. PALMER JR 3Pt missed,,,,,,,,,0,200,2.0,def_reb,0,72,0,71
05:28,05:28:00,72,71,1,1,4,REGULAR,7,B. DURMAZ,1,rebound,651,650,[],defensive,0,3,Berkan,Durmaz,Berkan,Durmaz,B,D,B,D,B. Durmaz,TÜRK TELEKOM,TTK,B. Durmaz,3,,,,,,REB,,TÜRK TELEKOM rebound defensive,,,,,,,,,0,201,1.0,def_reb,0,72,0,71
05:28,05:28:00,72,71,1,2,4,REGULAR,104,F. WHITE JR,1,foul,652,,['2freethrow'],personal,0,35,Fabian Christopher,White Jr,Fabian Christopher,White Jr,F,W,F,W,F. White Jr,GALATASARAY MCT TECHNIC,GSM,F. White Jr,35,,,,,,FOUL,,GALATASARAY MCT TECHNIC F. WHITE JR foul personal,,,,,,,,,0,202,2.0,,0,72,0,71
