possession_id,period,start_action,end_action,start_clock,end_clock,owner_tno,end_reason,pts_owner,pts_against,owner_team_name,net_pts
135,3,454,454,05:58:00,05:58:00,2.0,turnover,0,0,FENERBAHÇE BEKO,0
136,3,455,456,05:58:00,05:53:00,1.0,def_reb,0,0,TOFAS,0
137,3,457,457,05:50:00,05:50:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
138,3,458,461,05:42:00,05:36:00,1.0,score,2,0,TOFAS,2
139,3,462,476,05:36:00,05:02:00,2.0,score,2,0,FENERBAHÇE BEKO,2
140,3,477,479,05:02:00,05:02:00,1.0,def_reb,0,0,TOFAS,0
141,3,481,481,05:02:00,05:02:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
142,3,483,489,04:48:00,04:41:00,1.0,def_reb,0,0,TOFAS,0
143,3,490,490,04:38:00,04:38:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
144,3,491,491,04:34:00,04:34:00,1.0,score,2,2,TOFAS,0
145,3,492,493,04:34:00,04:14:00,2.0,score,2,2,FENERBAHÇE BEKO,0
146,3,494,494,03:53:00,03:53:00,1.0,score,2,2,TOFAS,0
147,3,495,495,03:35:00,03:35:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
148,3,496,496,03:33:00,03:33:00,1.0,def_reb,0,0,TOFAS,0
149,3,498,498,03:29:00,03:29:00,2.0,score,2,0,FENERBAHÇE BEKO,2
150,3,499,508,03:29:00,03:29:00,1.0,made_ft_last,1,1,TOFAS,0
151,3,510,517,03:08:00,03:08:00,2.0,made_ft,1,1,FENERBAHÇE BEKO,0
152,3,518,518,03:08:00,03:08:00,1.0,def_reb,0,0,TOFAS,0
153,3,520,520,03:08:00,03:08:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
154,3,521,521,02:44:00,02:44:00,1.0,score,3,3,TOFAS,0
155,3,522,522,02:20:00,02:20:00,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
156,3,523,523,02:17:00,02:17:00,1.0,def_reb,0,0,TOFAS,0
157,3,525,525,02:13:00,02:13:00,2.0,turnover,0,0,FENERBAHÇE BEKO,0
158,3,530,530,01:57:00,01:57:00,1.0,score,2,0,TOFAS,2
159,3,531,537,01:57:00,01:42:00,2.0,turnover,0,0,FENERBAHÇE BEKO,0
160,3,538,539,01:42:00,01:38:00,1.0,score,2,0,TOFAS,2
161,3,541,544,01:38:00,01:22:00,2.0,score,2,0,FENERBAHÇE BEKO,2
162,3,545,547,01:04:00,01:01:00,1.0,def_reb,0,0,TOFAS,0
163,3,548,548,00:58:50,00:58:50,2.0,def_reb,0,0,FENERBAHÇE BEKO,0
164,3,550,550,00:43:60,00:43:60,1.0,turnover,0,0,TOFAS,0
165,3,552,552,00:30:40,00:30:40,2.0,score,2,2,FENERBAHÇE BEKO,0
166,3,553,555,00:30:40,00:06:30,1.0,score,2,2,TOFAS,0
167,3,556,565,00:06:30,09:46:00,2.0,score,2,2,FENERBAHÇE BEKO,0
