gt,clock,s1,s2,lead,tno,period,periodType,pno,player,success,actionType,actionNumber,previousAction,qualifier,subType,scoring,shirtNumber,firstName,familyName,internationalFirstName,internationalFamilyName,firstNameInitial,familyNameInitial,internationalFirstNameInitial,internationalFamilyNameInitial,scoreboardName,team_name,team_code,player_name_from_roster,player_shirt,player_pos_raw,player_pos_group,x,y,r,ev_code,ev_result,ev_text,assist_pno,assist_tno,assist_player,block_pno,block_tno,block_player,assist_pos_group,block_pos_group,points,possession_id,possession_owner_tno,possession_end_reason,pts_1,cum_1,pts_2,cum_2
07:42,07:42:00,44,48,-4,1,3,REGULAR,9,J. WHITE,1,foul,392,,[],personal,0,14,Jackson Thomas,White,Jackson Thomas,White,J,W,J,W,J. White,MERSİN SPOR,MSK,J. White,14,,,,,,FOUL,,MERSİN SPOR J. WHITE foul personal,,,,,,,,,0,115,2.0,,0,44,0,48
07:42,07:42:00,44,48,-4,2,3,REGULAR,92,N. MELLI,1,foulon,393,392,[],,0,4,Nicolo,Melli,Nicolo,Melli,N,M,N,M,N. Melli,FENERBAHÇE BEKO,FBB,N. Melli,4,,,,,,OTHER,,FENERBAHÇE BEKO foulon,,,,,,,,,0,115,2.0,,0,44,0,48
07:36,07:36:00,44,51,-7,2,3,REGULAR,79,T. BIBEROVIÇ,1,3pt,395,,['fromturnover'],jumpshot,1,13,Tarik,Biberoviç,Tarik,Biberoviç,T,B,T,B,T. Biberoviç,FENERBAHÇE BEKO,FBB,T. Biberoviç,13,,,24.489999771118,15.539999961853,1.0,P3,made,FENERBAHÇE BEKO T. BIBEROVIÇ 3Pt made,95.0,2.0,D. HALL,,,,,,3,115,2.0,score,0,44,3,51
07:36,07:36:00,44,51,-7,2,3,REGULAR,95,D. HALL,1,assist,396,395,[],,0,20,Devon Howard,Hall,Devon Howard,Hall,D,H,D,H,D. Hall,FENERBAHÇE BEKO,FBB,D. Hall,20,,,,,,ASS,,FENERBAHÇE BEKO D. HALL assist,,,,,,,,,0,116,1.0,,0,44,0,51
07:21,07:21:00,44,51,-7,2,3,REGULAR,92,N. MELLI,1,foul,398,,"['shooting', '2freethrow']",personal,0,4,Nicolo,Melli,Nicolo,Melli,N,M,N,M,N. Melli,FENERBAHÇE BEKO,FBB,N. Melli,4,,,,,,FOUL,,FENERBAHÇE BEKO N. MELLI foul personal,,,,,,,,,0,116,1.0,,0,44,0,51
07:21,07:21:00,44,51,-7,1,3,REGULAR,56,A. OLASENI,1,foulon,399,398,[],,0,0,Abodunrin Gabriel,Olaseni,Abodunrin Gabriel,Olaseni,A,O,A,O,A. Olaseni,MERSİN SPOR,MSK,A. Olaseni,0,,,,,,OTHER,,MERSİN SPOR foulon,,,,,,,,,0,116,1.0,,0,44,0,51
07:21,07:21:00,44,51,-7,2,3,REGULAR,92,N. MELLI,1,substitution,400,,[],out,0,4,Nicolo,Melli,Nicolo,Melli,N,M,N,M,N. Melli,FENERBAHÇE BEKO,FBB,N. Melli,4,,,,,,SUB,out,FENERBAHÇE BEKO substitution out,,,,,,,,,0,116,1.0,,0,44,0,51
07:21,07:21:00,44,51,-7,2,3,REGULAR,76,M. MAHMUTOGLU,1,substitution,401,,[],out,0,10,Melih,Mahmutoglu,Melih,Mahmutoglu,M,M,M,M,M. Mahmutoglu,FENERBAHÇE BEKO,FBB,M. Mahmutoglu,10,,,,,,SUB,out,FENERBAHÇE BEKO substitution out,,,,,,,,,0,116,1.0,,0,44,0,51
07:21,07:21:00,44,51,-7,2,3,REGULAR,94,W. BALDWIN IV,1,substitution,402,,[],in,0,2,Wade M,Baldwin Iv,Wade M,Baldwin Iv,W,B,W,B,W. Baldwin Iv,FENERBAHÇE BEKO,FBB,W. Baldwin Iv,2,,,,,,SUB,in,FENERBAHÇE BEKO substitution in,,,,,,,,,0,116,1.0,,0,44,0,51
07:21,07:21:00,44,51,-7,2,3,REGULAR,98,M. JANTUNEN,1,substitution,403,,[],in,0,18,Mikael Olli Axel,Jantunen,Mikael Olli Axel,Jantunen,M,J,M,J,M. Jantunen,FENERBAHÇE BEKO,FBB,M. Jantunen,18,,,,,,SUB,in,FENERBAHÇE BEKO substitution in,,,,,,,,,0,116,1.0,,0,44,0,51
07:21,07:21:00,45,51,-6,1,3,REGULAR,56,A. OLASENI,1,freethrow,404,,[],1of2,1,0,Abodunrin Gabriel,Olaseni,Abodunrin Gabriel,Olaseni,A,O,A,O,A. Olaseni,MERSİN SPOR,MSK,A. Olaseni,0,,,,,,FT,made,MERSİN SPOR A. OLASENI FT 1of2 made,,,,,,,,,1,116,1.0,made_ft,1,45,0,51
